Id,CreationDate,Score,Tags,ViewCount,AnswerCount,FavoriteCount
"55616","2019-07-13 14:58:06","1","<machine-learning><statistics>","108","1",""
"55618","2019-07-13 17:12:30","3","<nlp><pytorch><spacy><allennlp>","910","1",""
"55619","2019-07-13 17:40:07","0","<nlp>","168","1",""
"55625","2019-07-13 22:18:30","0","<linear-regression><mse>","285","1",""
"55633","2019-07-14 08:00:34","1","<machine-learning><classification><machine-learning-model><mlp><error-handling>","1504","1","0"
"55635","2019-07-14 08:49:07","1","<python><time-series>","29","0","1"
"55637","2019-07-14 10:48:18","2","<predictive-modeling><linear-regression><lasso>","101","0","0"
"55638","2019-07-14 11:40:40","0","<python><pandas><linear-regression>","368","2","1"
"55639","2019-07-14 11:45:43","1","<machine-learning><dataset><machine-learning-model>","36","0",""
"55640","2019-07-14 12:48:14","1","<python>","363","0",""
"55645","2019-07-14 14:05:51","0","<python><logistic-regression>","213","0","1"
"55646","2019-07-14 14:06:13","0","<machine-learning><multiclass-classification><loss-function><metric>","35","0",""
"55647","2019-07-14 14:37:51","10","<machine-learning><neural-network><deep-learning><machine-translation>","1660","2","1"
"55648","2019-07-14 14:43:53","3","<machine-learning><python><feature-engineering><dimensionality-reduction><kaggle>","2176","1","3"
"55649","2019-07-14 16:25:55","1","<machine-learning><mathematics><deep-learning>","134","2",""
"55654","2019-07-14 19:00:57","1","<python><classification><scikit-learn><regression><decision-trees>","1221","2","1"
"55656","2019-07-14 19:33:16","4","<linear-regression><gradient-descent><supervised-learning>","2776","2","4"
"55657","2019-07-14 20:05:46","2","<pca><kernel>","338","2",""
"55663","2019-07-15 01:11:00","0","<feature-engineering><feature-construction><features>","500","0",""
"55664","2019-07-15 01:53:50","2","<machine-learning><neural-network><deep-learning><cost-function>","156","2",""
"55669","2019-07-15 05:07:57","0","<machine-learning><regression><random-forest><xgboost><bias>","44","0",""
"55670","2019-07-15 05:16:06","1","<machine-learning><feature-selection><categorical-data>","614","1",""
"55672","2019-07-15 05:26:11","0","<machine-learning><supervised-learning>","281","1","1"
"55675","2019-07-15 06:53:52","2","<neural-network><deep-learning><cnn><rnn>","180","1","3"
"55676","2019-07-15 07:42:18","0","<machine-learning><algorithms>","22","0",""
"55680","2019-07-15 09:24:53","0","<neural-network><classification>","62","1",""
"55686","2019-07-15 10:11:23","1","<machine-learning><classification><categorical-data>","150","1",""
"55688","2019-07-15 10:18:22","0","<machine-learning><deep-learning><encoding>","36","0","1"
"55694","2019-07-15 12:48:51","1","<time-series><matplotlib>","353","0",""
"55699","2019-07-15 14:19:18","1","<machine-learning><python><regression><feature-selection><logistic-regression>","116","2","1"
"55706","2019-07-15 16:06:29","1","<dataset><lstm><training><forecasting>","482","1","0"
"55716","2019-07-15 18:37:23","1","<machine-learning><time-series><k-nn><markov-process>","99","2",""
"55721","2019-07-15 19:41:52","2","<excel>","165","1",""
"55731","2019-07-15 22:36:45","0","<machine-learning><sentiment-analysis><transfer-learning><semi-supervised-learning>","30","0","2"
"55737","2019-07-16 02:05:00","0","<python><keras><cnn><object-detection>","2256","1",""
"55745","2019-07-16 04:41:11","0","<deep-learning><multiclass-classification><pytorch>","764","1",""
"55748","2019-07-16 06:47:09","0","<machine-learning><deep-learning>","48","1",""
"55749","2019-07-16 06:49:44","1","<deep-learning><tensorflow><multilabel-classification>","61","0",""
"55750","2019-07-16 06:54:12","1","<nlp><stanford-nlp>","701","1",""
"55752","2019-07-16 06:59:23","0","<deep-learning><classification><keras><lstm>","503","1",""
"55759","2019-07-16 09:20:24","2","<machine-learning><deep-learning><computer-vision>","449","1",""
"55761","2019-07-16 09:41:58","0","<pandas><anomaly-detection>","43","1",""
"55763","2019-07-16 10:16:58","1","<nlp><machine-translation>","66","1",""
"55765","2019-07-16 10:28:19","1","<machine-learning><deep-learning><image-classification>","99","1","1"
"55767","2019-07-16 10:43:27","1","<machine-learning><neural-network><keras><evaluation><metric>","497","0","1"
"55768","2019-07-16 11:23:46","0","<convolution>","27","1",""
"55769","2019-07-16 11:24:11","1","<machine-learning><multiclass-classification><loss-function>","101","1",""
"55771","2019-07-16 12:28:49","0","<pandas><data-cleaning>","3344","1",""
"55774","2019-07-16 12:51:01","1","<neural-network><deep-learning><classification><multi-output><interpretation>","326","2","1"
"55777","2019-07-16 13:30:23","1","<tensorflow>","7733","1",""
"55785","2019-07-16 14:41:40","1","<q-learning>","705","1",""
"55793","2019-07-16 17:45:03","1","<machine-learning><python><scikit-learn><numpy>","5443","1",""
"55795","2019-07-16 19:03:17","2","<machine-learning><deep-learning><scikit-learn>","3922","1","2"
"55804","2019-07-17 01:11:25","0","<predictive-modeling>","26","0",""
"55808","2019-07-17 05:26:43","0","<python><pandas><dataframe>","450","2",""
"55811","2019-07-17 05:49:50","2","<python><pandas><csv><data-formats>","6051","1","1"
"55816","2019-07-17 07:14:02","1","<machine-learning><deep-learning><cnn><batch-normalization>","121","0",""
"55818","2019-07-17 08:00:00","0","<machine-learning><r><feature-engineering><data-science-model><feature-map>","62","0",""
"55820","2019-07-17 08:59:13","0","<python><pandas>","3042","1",""
"55821","2019-07-17 09:29:07","3","<machine-learning><computer-vision><nlp>","75","4","1"
"55823","2019-07-17 09:35:57","1","<deep-learning>","33","0","1"
"55826","2019-07-17 11:09:26","0","<machine-learning><classification><class-imbalance>","85","2",""
"55828","2019-07-17 11:45:42","1","<deep-learning>","1606","1",""
"55829","2019-07-17 11:51:26","0","<machine-learning><deep-learning><anomaly-detection>","45","1",""
"55830","2019-07-17 11:55:42","0","<machine-learning><python>","3084","2",""
"55831","2019-07-17 12:03:36","4","<machine-learning><regularization><lasso>","373","2","1"
"55833","2019-07-17 13:39:38","0","<machine-learning><keras><time-series><lstm><sequence>","903","0","1"
"55835","2019-07-17 13:47:50","0","<machine-learning><nlp><word2vec><gensim>","1356","1",""
"55838","2019-07-17 13:56:09","2","<deep-learning><gan><transfer-learning><generative-models>","1123","1",""
"55843","2019-07-17 15:06:27","1","<machine-learning><text-mining>","127","1",""
"55850","2019-07-17 15:53:35","1","<scipy>","3002","1","0"
"55855","2019-07-17 18:10:46","0","<machine-learning><tensorflow>","520","1",""
"55856","2019-07-17 18:33:59","0","<python><nlp><clustering><word-embeddings>","234","1",""
"55859","2019-07-17 19:32:53","1","<deep-learning><keras><tensorflow>","405","2","2"
"55860","2019-07-17 19:36:40","1","<beginner>","74","1","2"
"55862","2019-07-17 20:17:56","0","<decision-trees>","26","1",""
"55869","2019-07-17 21:51:57","1","<scikit-learn><random-forest>","50","0",""
"55876","2019-07-17 23:40:17","2","<machine-learning><data-mining><text-mining><nlp>","118","0",""
"55877","2019-07-17 23:57:25","0","<beginner><missing-data><definitions>","113","1",""
"55879","2019-07-18 00:31:19","2","<data-cleaning><csv>","128","2",""
"55887","2019-07-18 05:46:20","1","<machine-learning><deep-learning><tensorflow><data-science-model>","47","0","1"
"55888","2019-07-18 06:10:56","-1","<machine-learning><python><scala>","78","1",""
"55892","2019-07-18 06:53:51","1","<nlp><machine-translation>","141","1",""
"55894","2019-07-18 07:23:45","0","<machine-learning><deep-learning><activation-function><perceptron>","30","0",""
"55896","2019-07-18 07:42:15","5","<machine-learning><nlp><spacy>","6105","1",""
"55897","2019-07-18 07:44:14","0","<machine-learning><time-series><linear-regression>","71","1",""
"55901","2019-07-18 08:34:46","19","<nlp><encoding><transformer><attention-mechanism>","4348","4","8"
"55902","2019-07-18 08:36:01","6","<machine-learning><python><classification><xgboost>","9668","2",""
"55907","2019-07-18 09:21:08","4","<python><image-classification><pytorch>","1875","2","1"
"55909","2019-07-18 09:31:10","0","<deep-learning>","92","2",""
"55916","2019-07-18 12:07:09","1","<python><pandas><dataframe><text>","864","1",""
"55919","2019-07-18 13:33:17","0","<neural-network><feature-engineering><feature-scaling>","567","0","1"
"55920","2019-07-18 13:40:37","-1","<machine-learning><clustering>","62","2",""
"55923","2019-07-18 14:19:53","-1","<machine-learning><linear-regression><linear-algebra>","39","1",""
"55924","2019-07-18 14:20:55","1","<labels><binary><deep-learning>","155","1",""
"55928","2019-07-18 14:42:28","2","<python><scikit-learn><categorical-data><encoding>","284","2","1"
"55931","2019-07-18 15:07:00","1","<tensorflow>","65","1",""
"55933","2019-07-18 15:10:00","1","<python><bigdata>","62","0",""
"55935","2019-07-18 15:35:56","1","<classification><data-science-model><weka>","438","1",""
"55948","2019-07-18 18:19:11","0","<python><feature-selection><multiclass-classification><supervised-learning>","152","1",""
"55949","2019-07-18 18:41:09","1","<machine-learning>","242","2","1"
"55950","2019-07-18 18:59:27","0","<dataset><data><excel>","2287","1",""
"55953","2019-07-18 19:16:55","1","<neural-network><dataset><data><generalization>","18","0",""
"55955","2019-07-18 19:48:56","0","<neural-network>","89","1",""
"55958","2019-07-18 21:25:46","1","<machine-learning><deep-learning><classification><data-mining>","11","0",""
"55960","2019-07-18 21:43:46","1","<python><deep-learning><keras><time-series><lstm>","21","0","1"
"55961","2019-07-18 21:48:37","0","<python><dataset><pandas><dataframe>","54","1","1"
"55962","2019-07-18 21:56:56","3","<neural-network><loss-function><probability><pytorch><softmax>","4192","1","1"
"55963","2019-07-18 21:57:44","2","<python><deep-learning><keras><cnn><image-classification>","6943","3","1"
"55969","2019-07-19 02:11:00","1","<feature-selection><feature-engineering><correlation><matlab>","70","1","2"
"55972","2019-07-19 04:37:08","0","<neural-network><gan><generative-models>","30","1",""
"55980","2019-07-19 08:05:35","1","<python><keras><time-series><lstm><forecasting>","75","0",""
"55982","2019-07-19 08:11:19","0","<machine-learning><python><pandas><lstm>","4714","0",""
"55984","2019-07-19 08:34:35","7","<machine-learning><evaluation><explainable-ai>","173","1","4"
"55988","2019-07-19 09:35:44","0","<machine-learning><python><scikit-learn><feature-selection><random-forest>","3001","1",""
"55990","2019-07-19 09:53:13","1","<neural-network><regression><pytorch>","34","1",""
"55991","2019-07-19 10:10:22","24","<machine-learning><deep-learning><training>","27365","5","8"
"55994","2019-07-19 10:55:04","0","<machine-learning><deep-learning><tensorflow><object-detection><faster-rcnn>","815","1",""
"56000","2019-07-19 12:35:37","1","<tensorflow>","479","0",""
"56002","2019-07-19 13:47:30","1","<computer-vision><convolution><faster-rcnn>","21","1",""
"56003","2019-07-19 13:54:29","0","<machine-learning><python><time-series><prediction>","239","1",""
"56006","2019-07-19 14:09:49","0","<dataset><regression><statistics><data><bigdata>","16","1",""
"56012","2019-07-19 14:29:01","2","<machine-learning><explainable-ai>","110","2","1"
"56013","2019-07-19 14:30:16","1","<machine-learning><python><scikit-learn><decision-trees>","2443","2","1"
"56014","2019-07-19 14:31:04","0","<machine-learning><nlp><spacy>","2458","1",""
"56016","2019-07-19 14:52:35","1","<python><data><data-analysis><interpolation>","154","0",""
"56017","2019-07-19 14:58:50","-1","<data>","35","1",""
"56021","2019-07-19 16:35:33","1","<keras><gpu>","150","1",""
"56030","2019-07-19 19:30:16","1","<machine-learning><classification><data><class-imbalance>","291","0",""
"56033","2019-07-19 19:38:11","0","<classification><nlp><dataset>","97","1",""
"56035","2019-07-19 20:17:25","0","<machine-learning><python><xgboost><forecasting>","775","1",""
"56038","2019-07-19 22:58:54","0","<neural-network><keras><tensorflow><cnn><gpu>","493","0",""
"56039","2019-07-19 23:08:56","1","<neural-network><deep-learning><cnn><autoencoder><hyperparameter-tuning>","126","0",""
"56041","2019-07-20 01:09:48","1","<machine-learning><gradient-descent><boosting>","200","0",""
"56045","2019-07-20 02:25:11","0","<machine-learning><deep-learning><classification>","23","1",""
"56047","2019-07-20 03:57:34","2","<classification><regression><predictive-modeling><markov>","85","2",""
"56049","2019-07-20 06:07:21","0","<deep-learning><loss-function><backpropagation><softmax>","118","2",""
"56050","2019-07-20 06:08:23","1","<logistic-regression><feature-engineering><feature-construction>","80","1","2"
"56053","2019-07-20 08:06:54","11","<python><deep-learning><reinforcement-learning><q-learning><openai-gym>","2544","1","3"
"56054","2019-07-20 08:58:49","1","<classification><data-mining>","47","0",""
"56056","2019-07-20 09:41:33","0","<dataset><statistics><bigdata><data-science-model>","41","1",""
"56058","2019-07-20 13:09:44","0","<machine-learning><boosting><ensemble>","27","1",""
"56062","2019-07-20 15:40:58","0","<machine-learning><clustering><recommender-system><k-means>","75","3",""
"56066","2019-07-20 17:11:32","0","<machine-learning><python><neural-network><autoencoder><image-preprocessing>","43","0",""
"56071","2019-07-20 18:55:06","1","<machine-learning><nlp><word2vec>","311","2",""
"56077","2019-07-20 22:03:38","1","<machine-learning><python><feature-selection><random-forest><kaggle>","124","1","1"
"56081","2019-07-21 04:01:11","0","<machine-learning><deep-learning><statistics><metric><bayesian>","23","1",""
"56084","2019-07-21 05:14:43","1","<dataset><feature-selection>","65","1","1"
"56087","2019-07-21 07:17:49","1","<neural-network><keras><cnn>","643","1",""
"56089","2019-07-21 10:07:22","1","<python>","1418","1",""
"56090","2019-07-21 10:15:05","3","<encoding>","1486","3","1"
"56093","2019-07-21 10:53:34","0","<python><clustering><geospatial>","140","1","1"
"56094","2019-07-21 11:35:52","3","<scikit-learn><recommender-system><cosine-distance><movielens>","5752","1",""
"56098","2019-07-21 12:16:36","1","<machine-learning><boosting><ensemble-learning>","155","1","1"
"56101","2019-07-21 12:39:44","0","<python><neural-network><scikit-learn><cross-validation><numpy>","181","1",""
"56108","2019-07-21 15:18:58","2","<cross-validation>","129","4",""
"56109","2019-07-21 15:40:41","0","<cross-validation><training>","64","2",""
"56110","2019-07-21 15:41:25","2","<deep-learning><keras><tensorflow><convolution><convolutional-neural-network>","3398","1","1"
"56111","2019-07-21 15:52:33","3","<machine-learning><python><scikit-learn><class-imbalance>","85","1","1"
"56112","2019-07-21 15:53:27","1","<data-cleaning><feature-engineering>","35","1",""
"56116","2019-07-21 17:42:25","1","<deep-learning><reinforcement-learning><q-learning>","1126","1",""
"56126","2019-07-21 21:56:34","2","<python><neural-network><keras><tensorflow><sequence-to-sequence>","282","0",""
"56129","2019-07-22 00:37:37","1","<scikit-learn><learning-to-rank>","86","1",""
"56130","2019-07-22 01:22:56","1","<autoencoder><gan><generative-models><markov>","23","0",""
"56135","2019-07-22 06:24:00","1","<classification><statistics>","46","1","1"
"56136","2019-07-22 07:13:53","0","<python><deep-learning><keras><lstm>","1258","1",""
"56137","2019-07-22 07:44:56","0","<feature-selection><feature-engineering><data-science-model>","51","1","1"
"56139","2019-07-22 08:55:00","1","<machine-learning>","143","4","1"
"56142","2019-07-22 09:31:57","1","<machine-learning><preprocessing>","776","2",""
"56144","2019-07-22 09:54:45","1","<machine-learning><reinforcement-learning><q-learning><policy-gradients><actor-critic>","94","1",""
"56145","2019-07-22 10:11:13","4","<neural-network><metric><machine-translation><transformer>","1119","1",""
"56150","2019-07-22 10:48:15","0","<classification><algorithms><supervised-learning>","65","2",""
"56152","2019-07-22 12:01:53","3","<machine-learning><pandas><correlation>","507","1",""
"56153","2019-07-22 12:08:52","-1","<machine-learning><boosting><ensemble-learning>","36","1",""
"56154","2019-07-22 13:11:25","2","<semi-supervised-learning>","362","0","1"
"56155","2019-07-22 13:18:50","2","<optimization><scipy>","2687","1",""
"56156","2019-07-22 13:35:10","0","<machine-learning><classification><nlp><spacy>","555","1","1"
"56163","2019-07-22 14:24:54","12","<machine-learning><metric><distance><linear-algebra><mathematics>","520","1","1"
"56165","2019-07-22 14:35:26","0","<machine-learning><nlp><data-analysis><cosine-distance>","474","1",""
"56167","2019-07-22 14:44:54","3","<recommender-system>","57","0","1"
"56170","2019-07-22 16:21:19","3","<multiclass-classification><multilabel-classification>","1279","1",""
"56171","2019-07-22 16:36:03","2","<deep-learning><keras><tensorflow><cnn><convolutional-neural-network>","2882","2","0"
"56178","2019-07-22 18:01:31","5","<machine-learning><python><classification><dataset><xgboost>","572","2","2"
"56183","2019-07-22 19:37:14","0","<python><neural-network>","82","0","2"
"56186","2019-07-22 20:23:50","0","<machine-learning><python><clustering><unsupervised-learning><feature-scaling>","1541","1",""
"56193","2019-07-23 01:09:44","0","<neural-network><deep-learning><optimization><gan><generative-models>","1011","2",""
"56194","2019-07-23 01:41:38","1","<python><preprocessing><nlp>","11","0",""
"56195","2019-07-23 01:54:44","2","<machine-learning><deep-learning>","137","1","1"
"56196","2019-07-23 03:11:39","1","<keras><evaluation><gan><inception>","1559","0","1"
"56197","2019-07-23 03:24:59","2","<machine-learning><dataset><data><data-cleaning><feature-scaling>","84","1","1"
"56198","2019-07-23 03:33:24","1","<machine-learning><python><nlp><nltk><topic-model>","22","0","1"
"56202","2019-07-23 03:50:45","0","<python><neural-network><deep-learning><cnn><pytorch>","45","1",""
"56204","2019-07-23 05:18:59","2","<nlp>","47","2",""
"56209","2019-07-23 06:08:56","1","<machine-learning><statistics><data-cleaning><data-wrangling>","542","3",""
"56210","2019-07-23 06:11:18","1","<neural-network><deep-learning><reinforcement-learning>","1008","2","1"
"56215","2019-07-23 07:09:00","4","<neural-network><deep-learning>","2554","2","2"
"56217","2019-07-23 07:41:44","0","<deep-learning><time-series><hyperparameter-tuning>","51","1",""
"56221","2019-07-23 08:23:05","1","<cnn><autoencoder>","12","0",""
"56226","2019-07-23 10:08:15","1","<machine-learning><deep-learning><classification><nlp>","462","1",""
"56227","2019-07-23 10:16:56","0","<neural-network><keras><regression>","186","1",""
"56230","2019-07-23 11:02:46","1","<predictive-modeling><random-forest>","61","2",""
"56234","2019-07-23 11:51:40","1","<clustering><unsupervised-learning>","332","3",""
"56238","2019-07-23 12:47:48","0","<python><pandas>","519","1",""
"56240","2019-07-23 13:04:28","4","<cnn><image-classification><supervised-learning><image-recognition>","119","1","2"
"56248","2019-07-23 13:59:36","0","<neural-network><scikit-learn><accuracy><overfitting>","1362","1","1"
"56250","2019-07-23 14:29:08","4","<scikit-learn><decision-trees><class-imbalance>","10978","1","2"
"56252","2019-07-23 14:45:23","1","<machine-learning><cnn><convolution>","238","1",""
"56256","2019-07-23 15:56:37","0","<deep-learning><predictive-modeling><feature-selection><prediction>","30","1",""
"56262","2019-07-23 18:37:26","1","<deep-learning><batch-normalization>","411","1",""
"56263","2019-07-23 18:41:44","1","<machine-learning><scikit-learn>","3516","2",""
"56264","2019-07-23 19:01:22","2","<machine-learning><python><keras><tensorflow>","659","2",""
"56267","2019-07-23 19:23:59","1","<deep-learning><cnn><image-classification><unsupervised-learning>","340","2",""
"56270","2019-07-23 19:44:32","1","<machine-learning><cross-validation>","27","0","1"
"56273","2019-07-23 19:57:03","4","<convolution><convolutional-neural-network>","63","2","1"
"56275","2019-07-23 20:17:40","1","<machine-learning><neural-network><numpy><rnn>","22","0",""
"56276","2019-07-23 22:18:28","0","<machine-learning><classification><predictive-modeling><logistic-regression><machine-learning-model>","32","0",""
"56277","2019-07-23 22:51:30","2","<machine-learning><svm>","234","2","2"
"56278","2019-07-23 23:04:16","1","<dataset><statistics><graphs><descriptive-statistics><mathematics>","388","2",""
"56285","2019-07-24 04:51:35","2","<machine-learning><xgboost><boosting>","957","2",""
"56289","2019-07-24 06:50:57","1","<machine-learning><classification><regression><machine-learning-model>","254","2",""
"56296","2019-07-24 09:25:06","0","<anomaly-detection>","141","2","0"
"56299","2019-07-24 10:16:54","3","<machine-learning><cross-validation><prediction>","244","1","3"
"56303","2019-07-24 12:27:32","1","<reinforcement-learning><openai-gym>","177","1",""
"56304","2019-07-24 12:42:32","1","<reinforcement-learning><openai-gym>","53","1",""
"56307","2019-07-24 13:09:38","1","<deep-learning><keras><word-embeddings><embeddings>","883","1",""
"56308","2019-07-24 13:10:53","3","<reinforcement-learning>","831","1",""
"56315","2019-07-24 14:33:09","0","<neural-network>","29","1",""
"56318","2019-07-24 14:56:02","2","<machine-learning>","57","2",""
"56321","2019-07-24 15:57:29","4","<regression><xgboost><cross-validation><overfitting><metric>","2698","1","2"
"56323","2019-07-24 16:37:21","3","<deep-learning>","39","0",""
"56324","2019-07-24 16:55:44","2","<r><data-cleaning>","90","1",""
"56325","2019-07-24 18:11:35","0","<machine-learning><scikit-learn><pandas>","1165","2",""
"56327","2019-07-24 18:24:49","0","<machine-learning><python><time-series><statistics><forecasting>","30","0",""
"56328","2019-07-24 18:56:02","3","<machine-learning><python><scikit-learn><distance><k-nn>","294","1","2"
"56329","2019-07-24 19:00:39","1","<python><matplotlib>","82","1",""
"56331","2019-07-24 19:33:23","2","<dataset><regression><prediction><dummy-variables>","5220","2",""
"56332","2019-07-24 19:35:24","2","<powerbi>","137","0",""
"56336","2019-07-24 21:01:05","2","<machine-learning><xgboost>","1188","0","1"
"56338","2019-07-24 21:27:39","1","<classification><r><clustering><logistic-regression>","78","1","1"
"56345","2019-07-24 23:58:54","1","<machine-learning><python><linear-regression><multiclass-classification>","78","0",""
"56349","2019-07-25 00:46:27","1","<ab-test>","25","0",""
"56352","2019-07-25 05:12:20","0","<feature-selection><xgboost><correlation>","27","0",""
"56353","2019-07-25 06:27:02","5","<python><software-development>","105","1","1"
"56354","2019-07-25 06:41:56","1","<computer-vision><unsupervised-learning><pytorch>","72","0",""
"56356","2019-07-25 08:30:19","0","<machine-learning><python><pandas><lstm>","365","1",""
"56358","2019-07-25 09:24:23","5","<r><statistics><correlation><glm><interpretation>","127","2",""
"56360","2019-07-25 09:44:34","0","<python><clustering><graphs>","63","0",""
"56362","2019-07-25 09:47:23","1","<neural-network><lstm>","182","0",""
"56364","2019-07-25 10:19:48","4","<python><pandas><csv>","1494","1","1"
"56365","2019-07-25 10:46:19","1","<classification><xgboost><prediction><supervised-learning>","10056","1",""
"56366","2019-07-25 10:54:08","0","<neural-network><dataset>","276","1",""
"56369","2019-07-25 10:59:34","3","<svm><kernel><ridge-regression>","170","1",""
"56373","2019-07-25 12:35:56","1","<classification><scikit-learn><multiclass-classification>","32","1","1"
"56376","2019-07-25 13:50:50","6","<neural-network><deep-learning><computer-vision><convolution>","52","1",""
"56377","2019-07-25 13:52:10","4","<cnn><feature-extraction><image-recognition><gan><image-preprocessing>","2107","1","2"
"56379","2019-07-25 14:12:03","0","<machine-learning><feature-engineering><data-wrangling>","436","3",""
"56382","2019-07-25 15:00:20","0","<machine-learning><python><pandas><nlp><dataframe>","41","0",""
"56383","2019-07-25 15:04:42","4","<machine-learning><data-science-model><overfitting>","1180","1","2"
"56386","2019-07-25 15:48:07","2","<machine-learning><python><scikit-learn><svm><matplotlib>","197","0",""
"56390","2019-07-25 16:11:19","2","<visualization>","200","1",""
"56404","2019-07-25 21:02:02","2","<faster-rcnn><alex-net>","400","1",""
"56405","2019-07-25 21:13:31","8","<machine-learning><optimization><gradient-descent><mini-batch-gradient-descent>","1065","2","3"
"56406","2019-07-25 21:32:27","1","<nlp><search-engine>","26","1",""
"56407","2019-07-25 21:57:55","2","<keras><kernel>","1296","1","1"
"56409","2019-07-25 23:04:38","2","<python><google><cloud><google-data-studio>","38","0",""
"56412","2019-07-26 02:05:45","0","<python><cnn><mnist><weighted-data>","382","0",""
"56420","2019-07-26 07:18:47","2","<machine-learning><statistics><data-cleaning><data-wrangling>","152","0",""
"56426","2019-07-26 09:41:37","2","<data><feature-engineering><feature-scaling>","63","2",""
"56427","2019-07-26 10:31:23","3","<python><pandas><visualization><matplotlib><plotting>","800","2",""
"56429","2019-07-26 10:56:26","1","<machine-learning><boosting><lightgbm>","582","0",""
"56432","2019-07-26 11:44:54","1","<neural-network><deep-learning><cnn><object-detection><yolo>","277","1",""
"56444","2019-07-26 13:39:41","4","<machine-learning><softmax>","5019","3","1"
"56447","2019-07-26 14:01:14","4","<neural-network><regression><loss-function><class-imbalance>","2007","1","0"
"56448","2019-07-26 14:22:08","1","<neural-network><backpropagation><cost-function>","69","1",""
"56454","2019-07-26 16:17:24","0","<xgboost>","305","2",""
"56457","2019-07-26 16:49:57","0","<autoencoder><pca>","59","1",""
"56465","2019-07-26 21:52:17","1","<machine-learning><deep-learning>","21","0",""
"56466","2019-07-26 21:59:05","1","<machine-learning><dataset><machine-learning-model>","177","4",""
"56473","2019-07-27 03:30:27","0","<scikit-learn><random-forest><confusion-matrix>","481","1",""
"56474","2019-07-27 04:18:24","1","<python><classification><scikit-learn><svm>","308","0",""
"56476","2019-07-27 07:39:18","7","<machine-learning><deep-learning><nlp>","7760","5","10"
"56477","2019-07-27 08:35:24","4","<neural-network><keras><time-series><lstm><rnn>","1117","2","1"
"56479","2019-07-27 10:01:08","1","<python><keras><machine-learning-model><data-science-model>","50","1",""
"56481","2019-07-27 10:07:05","2","<reinforcement-learning>","21","1","1"
"56483","2019-07-27 13:46:03","2","<machine-learning>","197","1",""
"56492","2019-07-27 17:12:59","3","<time-series><pandas>","880","2",""
"56493","2019-07-27 17:25:56","0","<machine-learning><classification><scikit-learn><random-forest><svm>","58","2",""
"56494","2019-07-27 19:21:46","1","<machine-learning><neural-network><classification>","39","1",""
"56495","2019-07-27 19:30:43","1","<named-entity-recognition>","34","1",""
"56498","2019-07-27 20:32:56","0","<deep-learning><dataset><training><image>","36","0",""
"56501","2019-07-27 23:35:00","3","<clustering><k-means>","81","3",""
"56503","2019-07-28 01:27:43","0","<machine-learning><python><neural-network><data-mining><cnn>","94","3",""
"56504","2019-07-28 01:30:24","0","<machine-learning>","133","1",""
"56513","2019-07-28 09:55:22","1","<python><autoencoder><pca><pytorch><dimensionality-reduction>","730","2","1"
"56514","2019-07-28 11:04:17","1","<machine-learning><machine-learning-model><terminology><definitions>","44","2",""
"56517","2019-07-28 12:08:28","1","<tensorflow>","643","0",""
